HierarchyID: 24333099, Process: 0, Stage: 0, Operation: 1, Action: , MeasureID: 0, Label: operation-1
HierarchyID: 24333100, Process: 0, Stage: 0, Operation: 2, Action: , MeasureID: 0, Label: operation-2
HierarchyID: 24333101, Process: 0, Stage: 0, Operation: 3, Action: , MeasureID: 0, Label: operation-3
HierarchyID: 24333102, Process: 0, Stage: 0, Operation: 4, Action: , MeasureID: 0, Label: operation-4
HierarchyID: 24333103, Process: 0, Stage: 0, Operation: 5, Action: , MeasureID: 0, Label: operation-5
HierarchyID: 24333104, Process: 0, Stage: 0, Operation: 6, Action: , MeasureID: 0, Label: operation-6
HierarchyID: 24333105, Process: 0, Stage: 0, Operation: 7, Action: , MeasureID: 0, Label: operation-7
HierarchyID: 24333106, Process: 0, Stage: 0, Operation: 8, Action: , MeasureID: 0, Label: operation-8
HierarchyID: 24333107, Process: 0, Stage: 0, Operation: 9, Action: , MeasureID: 0, Label: operation-9
HierarchyID: 24333108, Process: 0, Stage: 0, Operation: 10, Action: , MeasureID: 0, Label: operation-10
HierarchyID: 24333109, Process: 0, Stage: 0, Operation: 11, Action: , MeasureID: 0, Label: operation-11
HierarchyID: 24333110, Process: 0, Stage: 0, Operation: 12, Action: , MeasureID: 0, Label: operation-12
HierarchyID: 24333111, Process: 0, Stage: 0, Operation: 13, Action: , MeasureID: 0, Label: operation-13
HierarchyID: 24333112, Process: 0, Stage: 0, Operation: 14, Action: , MeasureID: 0, Label: operation-14
HierarchyID: 24333113, Process: 0, Stage: 0, Operation: 15, Action: , MeasureID: 0, Label: operation-15
HierarchyID: 24333114, Process: 0, Stage: 0, Operation: 16, Action: , MeasureID: 0, Label: operation-16
HierarchyID: 24333115, Process: 0, Stage: 0, Operation: 17, Action: , MeasureID: 0, Label: operation-17
HierarchyID: 24333116, Process: 0, Stage: 0, Operation: 18, Action: , MeasureID: 0, Label: operation-18
HierarchyID: 24333117, Process: 0, Stage: 0, Operation: 19, Action: , MeasureID: 0, Label: operation-19
HierarchyID: 24333118, Process: 0, Stage: 0, Operation: 20, Action: , MeasureID: 0, Label: operation-20
